24,10000,216,71,1,39852,SORTED !
25,10000,229,50,1,39931,SORTED !
26,10000,232,70,1,39859,SORTED !
27,10000,228,41,1,39988,SORTED !
28,10000,229,62,1,39983,SORTED !
29,10000,223,43,1,39984,SORTED !
Nombre element : 1000
0,1000,28,7,0,3998,SORTED !
1,1000,29,8,9,3999,SORTED !
2,1000,27,10,1,3997,SORTED !
3,1000,29,10,2,3999,SORTED !
4,1000,32,9,4,3999,SORTED !
5,1000,29,9,2,3995,SORTED !
6,1000,29,11,6,3996,SORTED !
7,1000,28,10,6,3987,SORTED !
8,1000,29,9,3,3994,SORTED !
9,1000,29,10,1,3991,SORTED !
Nombre element : 1000
10,1000,12,10,0,3974,SORTED !
11,1000,12,10,0,3962,SORTED !
12,1000,11,7,0,3944,SORTED !
13,1000,11,11,0,3980,SORTED !
14,1000,15,11,0,3991,SORTED !
15,1000,11,10,0,3974,SORTED !
16,1000,14,9,0,3951,SORTED !
17,1000,12,9,0,3959,SORTED !
18,1000,12,10,0,3986,SORTED !
19,1000,11,10,0,3994,SORTED !
Nombre element : 1000
19,1000,12,9,0,3994,SORTED !
20,1000,28,8,1,3914,SORTED !
21,1000,28,9,1,3942,SORTED !
22,1000,29,9,1,3979,SORTED !
23,1000,31,12,2,3954,SORTED !
24,1000,26,10,2,3996,SORTED !
25,1000,33,9,1,3982,SORTED !
26,1000,28,9,1,3997,SORTED !
27,1000,29,10,1,3935,SORTED !
28,1000,33,9,1,3979,SORTED !
29,1000,27,9,0,3992,SORTED !
Nombre element : 50000
0,50000,2487,117,2,199995
1,50000,2484,106,1,199999
2,50000,2545,117,1,199993
3,50000,2559,126,3,199996
4,50000,2587,118,4,199999
5,50000,2582,148,2,199999
6,50000,2543,133,14,199996
7,50000,2515,119,0,199992
8,50000,2524,107,10,199994
9,50000,2493,105,3,199995
Nombre element : 50000
10,50000,398,146,0,199916
11,50000,401,127,0,199990
12,50000,384,117,0,199935
13,50000,404,201,0,199971
14,50000,384,164,0,199991
15,50000,395,205,0,199991
16,50000,382,208,0,199970
17,50000,418,133,0,199985
18,50000,429,135,0,199979
19,50000,408,129,1,199991
Nombre element : 50000
19,50000,395,160,1,199991
20,50000,4025,116,1,199992
21,50000,3833,164,1,199946
22,50000,3965,130,1,199956
23,50000,4150,127,1,199962
24,50000,3960,161,1,199926
25,50000,3918,158,1,199917
26,50000,3880,130,1,199957
27,50000,4010,114,1,199977
28,50000,3986,151,1,199992
29,50000,3876,99,1,199976
Nombre element : 5000
0,5000,68,20,1,19994,SORTED !
1,5000,62,19,2,19995,SORTED !
2,5000,82,18,2,19995,SORTED !
3,5000,73,18,3,19989,SORTED !
4,5000,48,19,2,19990,SORTED !
5,5000,47,20,0,19999,SORTED !
6,5000,59,16,0,19985,SORTED !
7,5000,60,19,7,19987,SORTED !
8,5000,85,20,2,19998,SORTED !
9,5000,60,20,12,19995,SORTED !
Nombre element : 5000
10,5000,37,23,0,19904,SORTED !
11,5000,35,23,0,19938,SORTED !
12,5000,34,30,0,19986,SORTED !
13,5000,39,21,0,19930,SORTED !
14,5000,54,27,0,19938,SORTED !
15,5000,38,23,0,19976,SORTED !
16,5000,63,24,0,19955,SORTED !
17,5000,35,26,0,19974,SORTED !
18,5000,28,23,0,19983,SORTED !
19,5000,37,22,1,19973,SORTED !
Nombre element : 5000
19,5000,39,25,1,19973,SORTED !
20,5000,107,23,1,19991,SORTED !
21,5000,93,23,2,19990,SORTED !
22,5000,83,25,1,19942,SORTED !
23,5000,81,23,1,19923,SORTED !
24,5000,99,22,1,19970,SORTED !
25,5000,92,22,1,19976,SORTED !
26,5000,83,23,1,19997,SORTED !
27,5000,83,23,1,19986,SORTED !
28,5000,97,22,1,19922,SORTED !
29,5000,79,22,2,19930,SORTED !
